Model,Accuracy,F1,ROC_AUC,PR_AUC,CV_ROC_AUC
Stacking Ensemble (All tuned),0.8314799517061702,0.3637236084452975,0.8708542629703773,0.4890264509569435,0.8533470716919114
Random Forest (tuned),0.9376628328143864,0.12488849241748438,0.8675677460505211,0.45660666316406906,0.8508041895520199
Random Forest (Tuned + SMOTE),0.9148503526720467,0.42783945345858243,0.8539759986836591,0.40696747007555206,0.8319607206997205
LightGBM (tuned),0.9432547499523416,0.39702903443619175,0.8474220006764239,0.45356841751291793,0.8315258010157331
XGBoost (tuned),0.9382982779436996,0.1707941929974381,0.8293289634363381,0.3740314490342315,0.8147093198752925
K-Nearest Neighbors,0.9430005719006164,0.34477720964207453,0.8081721024398985,0.4341668794886915,0.781704658098412
Gradient Boosting,0.9344220626548897,0.03731343283582089,0.7364873947585748,0.20736905848304873,0.7335341600180879
Logistic Regression,0.35731079621274703,0.15179469976517948,0.6751516934198342,0.13925957448242046,0.6717277392707067
SVM (Linear),0.2137637415009214,0.13879028328809076,0.6589372385995572,0.13780775345509882,0.6532581848505183
Decision Tree,0.8917836944779818,0.2598870056497175,0.612022190826137,0.1255668560639467,0.5955433313341885
Naive Bayes,0.1500921395437504,0.12917507650237645,0.5492647670470443,0.07475099680233935,0.5456731286422924
